V1.V,V(V_D),I(D1.nK),
-4.62,-4.619999622358191,3.7764180940428887e-10,
-4.61,-4.609999743953911,2.5604608921647267e-10,
-4.6,-4.599999826346233,1.7365376651418537e-10,
-4.59,-4.589999882174493,1.178255068065337e-10,
-4.58,-4.579999920003129,7.999687097831194e-11,
-4.57,-4.569999945635381,5.4364619272640356e-11,
-4.56,-4.559999963003488,3.6996512033797434e-11,
-4.55,-4.549999974771903,2.5228096617582114e-11,
-4.54,-4.539999982746034,1.7253966286882674e-11,
-4.53,-4.5299999881492035,1.185079716741446e-11,
-4.52,-4.51999999181032,8.189679225118944e-12,
-4.51,-4.5099999942910465,5.708953050363843e-12,
-4.5,-4.4999999959719545,4.028045202988624e-12,
-4.49,-4.489999997110917,2.889083929292668e-12,
-4.48,-4.479999997882662,2.117338625662716e-12,
-4.47,-4.469999998405585,1.5944140863066316e-12,
-4.46,-4.459999998759922,1.2400778265729145e-12,
-4.45,-4.449999999,1.0000000248416335e-12,
-4.44,-4.43999999916268,8.373200598646753e-13,
-4.43,-4.429999999272909,7.270902444306601e-13,
-4.42,-4.4199999993476,6.523999642085503e-13,
